code,breadth_requirement,course_experience,description,recommended_preperation,prerequisite_description,exclusion_description,name,corequisite_description,note
MUZC23H3,HIS_PHIL_CUL,,"An investigation into significant issues in music and society. Topics will vary but may encompass art, popular and world music. Issues may include music’s relationship to technology, commerce and industry, identity, visual culture, and performativity. Through readings and case studies we consider music's importance to and place in society and culture.",,MUZB20H3/(VPMB82H3) and 1.0 credit at the C-level in MUZ/(VPM) courses,(VPMC65H3),Critical Issues in Music and Society,,
MUZC40H3,ART_LIT_LANG,,Students will write original works for diverse styles and genres while exploring various compositional methods. The class provides opportunities for students to work with musicians and deliver public performances of their own work.,,MUZB81H3/(VPMB90H3) and an additional 1.0 credit at the B-level in MUZ/(VPM) courses,(VPMC90H3),The Composer's Studio,,
MUZC41H3,ART_LIT_LANG,,"This course will explore various techniques for digital audio production including recording, editing, mixing, sequencing, signal processing, and sound synthesis. Students will develop creative skills for electronic media through theoretical, aesthetic, and practical perspectives.",,MUZB40H3/(VPMB91H3) and MUZB80H3/(VPMB88H3),(VPMC91H3),Digital Music Creation,,
MUZC42H3,ART_LIT_LANG,,"This course will explore music production and sound design techniques while examining conceptual underpinnings for creating works that engage with space and live audiences. Students will develop creative skills for electronic media through theoretical, aesthetic, and practical perspectives.",,MUZB40H3/(VPMB91H3) and MUZB80H3/(VPMB88H3),,Creative Audio Design Workshop,,
MUZC43H3,HIS_PHIL_CUL,,This course examines critical issues of music technology and the ways in which digital technology and culture impact the ideologies and aesthetics of musical artists. Students will become familiar with contemporary strategies for audience building and career development of technology-based musicians.,,[2.0 credits at the B-level in MUZ/(VPM) courses] or [2.0 credits at the B-level in MDS courses],(VPMC97H3),"Music, Technologies, Media",,
MUZC60H3,ART_LIT_LANG,University-Based Experience,"The practical study of instrumental ensemble performance in the Concert Band setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Concert Band attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,MUZB61H3/(VPMB74H3),(VPMC73H3),Concert Band IIIa,,
MUZC61H3,ART_LIT_LANG,University-Based Experience,"The practical study of instrumental ensemble performance in the Concert Band setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Concert Band attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,MUZC60H3/(VPMC73H3),(VPMC74H3),Concert Band IIIb,,
MUZC62H3,ART_LIT_LANG,University-Based Experience,The practical study of vocal ensemble performance in the Concert Choir setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement Interview required. Concert Choir attempts to accommodate everyone.,,MUZB63H3/(VPMB71H3),(VPMC70H3),Concert Choir IIIa,,
MUZC63H3,ART_LIT_LANG,University-Based Experience,The practical study of vocal ensemble performance in the Concert Choir setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement Interview required. Concert Choir attempts to accommodate everyone.,,MUZC62H3/(VPMC70H3),(VPMC71H3),Concert Choir IIIb,,
MUZC64H3,ART_LIT_LANG,University-Based Experience,"The practical study of instrumental ensemble performance in the String Orchestra setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. String Orchestra attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,MUZB65H3/(VPMB67H3),(VPMC66H3),String Orchestra IIIa,,Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits.
MUZC65H3,ART_LIT_LANG,University-Based Experience,"The practical study of instrumental ensemble performance in the String Orchestra setting. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. String Orchestra attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,MUZC64H3/(VPMC66H3),(VPMC67H3),String Orchestra IIIb,,Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits.
MUZC66H3,ART_LIT_LANG,University-Based Experience,"The practical study of small ensemble performance, including public presentations and group recitals. Students are normally expected to complete both Fall and Winter sessions in the same ensemble. Placement interview required. Small Ensembles attempts to accommodate everyone, but is not a course to learn an instrument for the first time.",,MUZB67H3/(VPMB69H3),(VPMC68H3),Small Ensembles IIIa,,"1. Priority will be given to students enrolled in the Major and Minor programs in Music and Culture. Additional students will be admitted as space permits. 2. Students interested in popular, rock, jazz, or other contemporary styles should register for LEC 01. Students interested in classical, folk, ""world,"" or other acoustic-based styles should register for LEC 02."
